MES_REFERENCIA;Chuva_Acumulada;Temp_Media_Mensal;Umid_Media;Pres_Media
2013-11-01;13,4;27,72;67,84;1007,88
2013-12-01;11,8;27,99;67,83;1008,42
2014-01-01;69,6;27,73;71,29;1008,75
2014-02-01;136,6;27,31;77,26;1007,76
2014-03-01;142,2;27,29;78,48;1008,52
2014-04-01;47,8;26,63;85,16;1009,52
2014-05-01;65,2;26,61;73,77;1009,15
2014-06-01;58,6;27,13;71,6;1010,21
2014-07-01;36,8;26,64;68,94;1012,41
2014-08-01;2,4;26,99;63,8;1011,57
2014-09-01;8,4;27,24;65,86;1010,98
2014-10-01;5,2;27,67;63,52;1009,87
2014-11-01;19,0;27,57;66,13;1008,9
2014-12-01;52,6;27,72;67,32;1009,13
2015-01-01;75,0;27,46;69,16;1009,75
2015-02-01;147,8;27,5;72,93;1008,97
2015-03-01;379,4;26,82;77,69;1008,68
2015-04-01;301,0;26,82;79,43;1008,99
2015-05-01;86,6;27,72;73,33;1009,59
2015-06-01;77,4;26,86;73,18;1011,3
2015-07-01;155,2;26,41;73,07;1011,43
2015-08-01;11,2;26,73;66,81;1011,26
2015-09-01;18,0;27,08;66,48;1010,94
2015-10-01;1,2;27,42;64,89;1010,49
2015-11-01;2,2;27,81;66,01;1008,9
2015-12-01;52,8;28,2;67,11;1009,77
2016-01-01;105,8;28,16;72,57;1009,02
2016-02-01;10,2;30,22;62,55;1009,08
2016-03-01;294,8;28,32;74,63;1009,44
2016-04-01;265,6;27,82;75,03;1008,37
2016-05-01;111,4;28,18;72,31;1010,19
2016-06-01;2,4;29,28;58,18;1011,56
2016-07-01;6,0;27,3;65,68;1011,29
2016-08-01;10,8;27,19;64,98;1011,45
2016-09-01;10,8;27,48;64,81;1011,06
2016-10-01;8,2;27,96;64,22;1008,99
2016-11-01;9,0;28,25;65,39;1008,25
2016-12-01;0,0;27,95;69,1;1008,34
2017-01-01;105,2;27,65;72,81;1008,44
2017-02-01;209,6;27,3;75,68;1008,18
2017-03-01;475,0;26,46;82,21;1008,32
2017-04-01;334,2;27,07;79,31;1008,42
2017-05-01;129,8;27,29;76,54;1009,36
2017-06-01;47,0;27,28;71,9;1010,21
2017-07-01;79,2;26,46;69,51;1012,24
2017-08-01;1,8;27,06;66,73;1011,15
2017-09-01;7,6;27,34;63,0;1011,01
2017-10-01;11,6;27,68;66,27;1009,25
2017-11-01;9,8;27,73;66,56;1008,35
2017-12-01;14,6;28,13;68,34;1008,24
2018-01-01;139,6;27,46;72,74;1008,31
2018-02-01;211,0;26,57;79,19;1008,05
2018-03-01;275,0;27,4;76,65;1008,27
2018-04-01;190,6;26,65;78,67;1008,94
2018-05-01;213,2;26,7;76,98;1009,78
2018-06-01;48,6;26,59;71,79;1011,34
2018-07-01;193,2;26,37;71,16;1011,42
2018-08-01;20,0;26,86;68,05;1011,86
2018-09-01;10,6;27,24;66,09;1009,77
2018-10-01;7,0;27,68;66,55;1009,19
2018-11-01;20,4;28,24;66,21;1008,04
2018-12-01;180,6;27,56;72,73;1009,1
2019-01-01;171,2;27,42;75,42;1009,51
2019-02-01;14,4;29,15;69,37;1008,52
2019-03-01;0,0;28,45;72,7;1008,71
2019-04-01;0,0;27,74;76,02;1008,91
2019-05-01;280,4;27,04;79,35;1009,1
2019-06-01;206,8;26,79;74,35;1011,13
2019-07-01;53,4;26,58;72,4;1011,35
2019-08-01;20,4;26,79;66,82;1012,56
2019-09-01;13,6;27,2;67,03;1010,92
2019-10-01;11,0;27,47;66,14;1009,29
2019-11-01;4,6;28,11;66,85;1007,83
2019-12-01;60,8;28,32;67,52;1008,02
2020-01-01;237,8;27,61;76,04;1008,71
2020-02-01;308,6;27,04;80,39;1008,7
2020-03-01;409,4;27,17;80,45;1008,37
2020-04-01;438,4;26,99;81,4;1008,88
2020-05-01;298,2;27,03;78,62;1009,88
2020-06-01;97,8;26,49;76,46;1010,34
2020-07-01;63,6;26,3;71,89;1010,51
2020-08-01;1,0;26,81;67,13;1010,61
2020-09-01;6,6;27,22;65,5;1010,47
2020-10-01;18,0;27,79;67,23;1009,26
2020-11-01;18,6;28,3;67,58;1008,27
2020-12-01;27,2;28,27;66,88;1008,35
2021-01-01;121,8;27,86;70,53;1007,94
2021-02-01;67,8;27,82;72,98;1007,86
2021-03-01;422,0;26,67;78,94;1008,06
2021-04-01;172,6;27,37;75,75;1008,06
2021-05-01;201,4;26,51;78,04;1009,56
2021-06-01;92,2;27,1;72,69;1010,25
2021-07-01;35,8;27,02;70,2;1011,56
2021-08-01;2,2;27,52;64,57;1010,79
2021-09-01;3,2;27,86;65,76;1010,33
2021-10-01;9,8;28,61;64,92;1008,8
2021-11-01;4,8;29,78;62,58;1007,8
2021-12-01;40,0;28,67;68,59;1007,22
2022-01-01;259,6;26,91;76,99;1008,49
2022-02-01;147,2;27,66;73,77;1007,96
2022-03-01;596,0;26,5;81,23;1007,44
2022-04-01;479,0;26,5;81,95;1007,92
2022-05-01;274,4;26,33;81,02;1009,64
2022-06-01;88,0;25,91;77,18;1009,89
2022-07-01;109,6;26,17;73,23;1010,59
2022-08-01;0,0;26,7;69,88;1010,52
2022-09-01;7,0;27,23;66,53;1010,45
2022-10-01;9,0;27,82;65,65;1009,16
2022-11-01;25,8;27,7;68,18;1008,35
2022-12-01;19,0;27,94;67,57;1008,12
2023-01-01;227,2;27,33;73,13;1008,74
2023-02-01;299,6;27,14;76,2;1008,4
2023-03-01;234,0;26,86;77,56;1008,68
2023-04-01;187,2;26,59;79,27;1007,85
2023-05-01;165,4;27,4;76,85;1009,39
2023-06-01;62,2;27,14;73,74;1010,86
2023-07-01;23,6;27,09;69,68;1011,68
2023-08-01;14,2;27,36;68,08;1010,96
2023-09-01;5,4;27,74;65,76;1010,33
2023-10-01;4,2;28,02;65,42;1009,2
2023-11-01;45,8;28,39;66,44;1008,69
2023-12-01;50,8;28,4;70,22;1008,17
2024-01-01;28,6;28,73;70,17;1009,26
2024-02-01;323,8;28,36;74,2;1008,97
2024-03-01;127,8;27,85;78,68;1008,51
2024-04-01;138,2;28,02;77,88;1007,89
2024-05-01;1,0;30,08;64,41;1006,98
2024-06-01;0,0;29,52;58,22;1010,48
2024-07-01;0,0;28,88;56,64;1011,11
2024-08-01;0,0;30,35;50,0;1011,2
2024-09-01;0,0;30,65;50,3;1010,44
2024-10-01;0,0;30,94;50,61;1009,69
2024-11-01;0,0;31,24;50,91;1008,93
2024-12-01;0,0;30,91;56,85;1008,67
2025-01-01;0,0;30,26;62,79;1008,64
